sku,name,brand,category_hint,vehicle_make,vehicle_model,year,oem_cross_ref,replaced_by,price,stock,notes
M-0429,Liquido Frenos,TRW,brake_fluid,,Sail,2017,96245-56046,,$ 319775,49,
P00772,Clutch Kit Hyundai Accent,Generic,clutch_kit,Hyundai,Accent,2012,W5335,,COP 120525,45,rev
SKU-0141,Foco H-7 Yamaha NMAX 2018 Mann,Mann,bulb,,NMAX,2018,95725-38198,,$ 321962,5,
B-0622,Bujia de encendido FZ16 2013 Denso,Denso,spark_plug,Yamaha,FZ16,2013,4453755,,$ 241257,55,
SKU-0318,Filtro A/C Hilux 2015,Bosch,cabin_filter,Toyota,Hilux,,5988851,,238480,51,
P00334,Denso Foco 9006 Volkswagen Gol 2014,,bulb,Volkswagen,,,3188036,,85769.00,31,
SKU-0182,Drivve Chain CB125 2014 Wix,,chain,Honda,,2014,OEM 83345,,51984.00,1,
REF0614,Bujias Honda CB125 Gates,,spark_plug,Honda,,2014,91661-34078,,$120.363,19,
SKU-0689,Wix Spark Plg Yamaha FZ16 2013,,spark_plug,Yamaha,FZ16,2013,,,11451.00,38,
B-0695,Filtro de Aire Mazda 3 2018 Wix,Wix,air_filter,,3,2018,4735533,,$ 9477,53,
SKU-0119,Disco Freno Spark 2018 SKF,SKF,brake_disc,Chevrolet,,,,,10370,47,
SKU-0100,Coolant CB125 TRW,TRW,,Honda,,2014,,,29461,34,
SKU-0078,Wix Filtro Aire 3,Wix,air_filter,,,2012,OEM 20443,,44274,56,
SKU-0053,Bosch Coolant,Bosch,coolant,Yamaha,,,B8386,,COP 10260,51,
P00062,Oil Filt. 3 2016 NGK,NGK,,Mazda,3,2016,95709-86228,,34137,43,
REF0711,Fram Liquido de Frenos,Fram,brake_fluid,Toyota,,2018,W4821,,318519,22,
P00721,Rodamiento rueda Hyundai Accent 2017 SKF,SKF,wheel_bearing,Hyundai,Accent,2017,S4728,,29113,9,
C-0325,ACEITE MOTOR 5W-30 4L,Denso,,Honda,,2020,OEM 53428,,COP 118029,46,
SKU-0092,Timing Belt Nissan Versa 2019,Monroe,,,,2019,A6110,,28774.00,,
REF0322,LUBRICANTE MOTOR 10W40 x1L NMAX Hengst,Hengst,engine_oil,Yamaha,,2020,2489608,,COP 33406,30,
SKU-0463,Mahle Aceite de Motor 20W-50 Sintetico Sentra,Mahle,,Nissan,Sentra,,A8292,,$319.953,2,
B-0838,piñon CB125 2018 SKF,SKF,sprocket,Honda,CB125,2018,OEM 11541,,COP 17201,2,reemplazado por SKU-0837
SKU-0657,Sprocket Brembo,Brembo,,Honda,XR150,2018,90815-73065,,10238,2,
REF0365,kit de croche Gol NGK,NGK,clutch_kit,Volkswagen,Gol,2016,OEM 95981,,9267,,
SKU-0279,Purflux Lampara H1 Nissan Sentra,Purflux,,Nissan,,,OEM 39313,,321327,20,
P00650,Bosch FILTRO DE ACEITE Renault Duster 2019,Bosch,,Renault,,2019,,,$ 69025,35,
SKU-0641,Brake Pads Bosch,Bosch,,Mazda,2,2019,S2994,,$ 121600,57,
C-0276,Brake Fluid Generic,Generic,brake_fluid,Renault,Duster,2014,S8620,,30375.00,14,
SKU-0105,Bujias GN125 2016,OEM,,Suzuki,,,S8659,,84763.00,,
SKU-0292,FILTRO DE ACEITE Mazda 2 2015 Gates,Gates,oil_filter,,2,,93508-67245,,33820,41,
A-0084,BRAKE DISC Mazda 2 2015,Fram,brake_disc,Mazda,2,,4771752,,$ 13917,12,
SKU-0817,Refrigerante,Bosch,,,GN125,2016,OEM 11893,,23282,30,
B-0600,Pastillas Freno Sail 2015 Hengst,Hengst,,Chevrolet,Sail,2015,4257618,,$83.439,agotado,
P00230,Denso Filtro Aceite CB125 2016,Denso,oil_filter,Honda,CB125,,,,COP 8961,33,
REF0627,TRW Past. Freno Versa,TRW,brake_pad,Nissan,,,S7024,,10248,2,
SKU-0603,Air Filt Rio 2020,Gates,,,Rio,,6650105,,44991,9,
REF0188,FILTRO DE GASOLINA Corolla,Mahle,fuel_filter,Toyota,Corolla,,6129730,,33565,42,
P00723,Bearing Renault Logan,,,,Logan,,96684-52442,,10520,33,
SKU-0082,F.Filter Sandero 2017 Monroe,Monroe,,Renault,Sandero,2017,B1730,,$ 51532,30,
M-0348,Anticongelante,Fram,,Renault,Sandero,2019,W5894,,$12.004,,
SKU-0794,Sachs Fluido de Frenos NKD125,,,AKT,NKD125,2015,6233992,P00793,16537,31,descontinuado
P00240,Chain Kit NMAX 2020 Valeo,Valeo,chain,Yamaha,NMAX,,A5381,,COP 86606,44,
SKU-0180,O.FILTER Toyota Yaris,Dayco,,Toyota,Yaris,2014,92870-56564,,46682,50,
SKU-0791,Bateria 12V Toyota Corolla 2016 Valeo,Valeo,battery,,Corolla,2016,1915668,,$33.998,7,rev
REF0248,Brembo brake disc Accent 2014,Brembo,,,Accent,,A3506,,10080,38,
SKU-0457,Gates rodamiento de rueda Hyundai Accent 2014,Gates,,Hyundai,Accent,2014,8295943,,$44.102,31,
SKU-0011,Foco H7 Yaris Monroe,Monroe,bulb,,Yaris,2017,3675311,,66536,47,
P00707,F.Filter Volkswagen Gol 2014,Mann,fuel_filter,Volkswagen,Gol,2014,1460492,,120416.00,11,
P00752,Generic Filtro Ac. Pulsar,Generic,oil_filter,Bajaj,,2020,98608-63835,,$321.577,15,
C-0549,Brembo Correa Distribucion Mazda 2 2017,Brembo,,,2,2017,,,$ 51109,47,
SKU-0602,Gates Filtro Combustible 3 2012,Gates,,Mazda,,,OEM 99441,,164907,4,
P00598,Spark Plug Yamaha NMAX 2020,Mahle,spark_plug,,NMAX,2020,8249693,,$ 118081,8,
P00373,AMORTIGUADOR DELANTERO Kia Rio 2013 TRW,TRW,shock,,Rio,,W2373,,COP 238299,39,
SKU-0332,Purflux Serpentine Belt Kia Rio 2015,Purflux,serpentine_belt,,Rio,2015,,,COP 20011,35,
SKU-0086,Batería Hyundai Accent 2019 Mann,Mann,battery,Hyundai,Accent,2019,92571-38908,,COP 13825,48,
A-0740,KIT DE EMBRAGUE Versa 2014 Wix,Wix,clutch_kit,Nissan,Versa,2014,S7522,,$ 23608,,
SKU-0378,Monroe Aceite de Motor 20W-50,Monroe,,Toyota,Corolla,,,,$238.307,3,
SKU-0476,SPROCKET Suzuki GN125 2014,NGK,,,GN125,2014,7342019,,20214,48,
SKU-0097,Brembo amort. Honda CB125 2014,,shock,Honda,CB125,2014,,,COP 22246,36,
SKU-0342,Wiper Chevrolet Sail Brembo,Brembo,wiper,Chevrolet,Sail,2017,98883-26606,,$ 10458,41,
P00395,Bateria Volkswagen Gol 2011 Fram,Fram,,Volkswagen,,,99757-15596,,$86.294,40,
SKU-0221,Air Filter Toyota Hilux,NGK,,,,2020,96944-27858,,85816,27,
SKU-0357,Disco Renault Logan 2018 Purflux,Purflux,,Renault,Logan,2018,,,$ 8879,,
SKU-0450,Fram O.Filter Bajaj Boxer,Fram,,Bajaj,Boxer,2015,96025-86926,,$50.497,7,
SKU-0539,Brembo Brake FFluid 2,Brembo,,Mazda,2,2015,,,164053,37,
REF0137,Disco de Freno Toyota Corolla Dayco,Dayco,,Toyota,,2018,91072-94601,,$ 45761,,
REF0497,Oil Filt. Spark 2010 Champion,Champion,oil_filter,Chevrolet,Spark,2010,,,13763,33,
SKU-0490,Mann Aceite 5W30 3,Mann,engine_oil,Mazda,3,2014,OEM 25841,,69176,24,
REF0446,Fram Filtro de Aceite,,,AKT,NKD125,2017,92707-28324,,COP 120690,19,
SKU-0208,BRAKE PAD SET Kia Rio 2017 Monroe,Monroe,brake_pad,Kia,Rio,2017,OEM 22231,,$320.717,1,
P00531,Hengst Filtro Ac. Mazda 3 2016,Hengst,,,3,2016,94614-87708,,$86.486,0,
SKU-0330,CHAIN KIT Gates,Gates,chain,Bajaj,Pulsar,,95673-64576,,10367,,
SKU-0742,Purflux Air Filt Nissan Versa,Purflux,air_filter,Nissan,,2019,4983378,,321114,57,
P00629,Bombilla H4 Bajaj Boxer 2017 Denso,Denso,bulb,Bajaj,Boxer,2017,8149728,,$ 163946,42,
SKU-0816,OEM PASTILLAS FRENO,OEM,brake_pad,,Gol,,92918-73462,B-0815,46911,,descontinuado
SKU-0500,BATERIA Kia Rio,Generic,battery,,Rio,,6353041,,44772,42,
REF0522,Liq. Frenos,Denso,,Bajaj,,,1882364,,240599,6,
SKU-0338,Hengst Plumilla Aveo,Hengst,wiper,,Aveo,2009,91189-67908,,321217,8,
REF0846,Bujia NGK CB125 iridium,Monroe,,,,,S3298,,$28.139,44,ojo: variante
A-0449,Bujía Versa 2014,Wix,spark_plug,Nissan,Versa,2014,OEM 17260,,$239.129,39,
SKU-0636,Clutch 3 Mahle,Mahle,,Mazda,3,2014,,,22081,few,
SKU-0609,Brake Fluid,Valeo,,Yamaha,FZ16,2015,,,240895,49,
REF0470,ACEITE DE MOTOR 10w40 Sintetico Valeo,Valeo,,Renault,Sandero,2019,,,67816.00,agotado,
SKU-0161,ENGINE OIL 20W-50 4L,SKF,engine_oil,Chevrolet,,2018,W6604,,13320.00,12,
P00738,Bosch filtro ac. XR150 2020,Bosch,,Honda,XR150,,97980-48855,,241216,41,
SKU-0024,Champion Filtro de Aire,Champion,air_filter,Bajaj,Pulsar,,W5160,,COP 121044,9,
C-0804,limpiaparabrisas Purflux,Purflux,,Renault,Duster,,,SKU-0803,$ 7151,59,descontinuado
SKU-0798,Bujia de encendido AKT NKD125 2015,Bosch,,AKT,NKD125,2015,B2202,M-0797,$66.824,few,descontinuado
A-0070,Brake Pads,Monroe,,,Sentra,2013,OEM 28708,,318956,51,
SKU-0730,Aceite 15W-40 x1L,Denso,engine_oil,Yamaha,FZ16,2019,W1580,,$ 318713,46,
P00782,DOT4 XR150 OEM,OEM,brake_fluid,Honda,,,5888507,,$321.239,42,rev
P00684,Escobilla Yaris 2017 Mahle,Mahle,,Toyota,Yaris,2017,2907711,,241489,few,
SKU-0521,Wix filtro gasolina Yaris 2017,,fuel_filter,Toyota,Yaris,2017,B2824,,165028.00,0,
SKU-0309,Wix A.Filter Mazda 2 2017,Wix,air_filter,Mazda,2,2017,2992234,,$68.190,14,
SKU-0790,Serpentine Belt Rio 2015,Hengst,,,Rio,2015,,,15541.00,27,
SKU-0485,Wiper Mazda 3 2014,Dayco,wiper,Mazda,3,2014,,,27185,18,
REF0691,Bujia Suzuki GN125 2012 Denso,Denso,,Suzuki,GN125,,,,29376,1,
SKU-0242,bombillo H1 Bajaj Pulsar 2016,OEM,,Bajaj,Pulsar,2016,93869-65399,,$ 14869,,
P00615,Mahle Fluido de Frenos,Mahle,brake_fluid,,,2020,A6260,,26743,33,
SKU-0273,A.Filter Yamaha FZ16 2017 Brembo,Brembo,,,FZ16,2017,99188-12183,,43334,59,
SKU-0619,FILTRO POLEN Toyota Yaris SKF,SKF,,Toyota,,,OEM 51919,,32061,4,
REF0173,Pastillas Yamaha NMAX,OEM,,Yamaha,NMAX,,,,$ 46447,22,
SKU-0280,Pastillas de Freno AKT NKD125 2017,Bosch,,AKT,,,,,$85.731,19,
REF0374,DOT4 Fram,Fram,brake_fluid,Hyundai,Accent,,A9345,,23916,30,
SKU-0107,Denso PASTILLAS FRENO Yamaha FZ16,Denso,brake_pad,,FZ16,2015,OEM 39019,,44266,2,
P00149,Fram Bujias Nissan Versa 2014,Fram,,Nissan,Versa,2014,,,44939,,
REF0458,Gates Kit Clutch Toyota Yaris 2014,,clutch_kit,Toyota,Yaris,2014,OEM 83410,,$7.755,4,
A-0058,Wix Filtro de Aceite Toyota Hilux 2012,Wix,oil_filter,Toyota,Hilux,,A1554,,10388.00,41,
SKU-0372,aceite 15W40 x1L Mahle,Mahle,engine_oil,,Duster,,,,COP 45603,30,
SKU-0206,Pinon Salida FZ16 NGK,NGK,sprocket,,FZ16,,A1392,,$ 10337,10,
B-0213,AIR FILT Toyota Hilux 2015 SKF,SKF,air_filter,Toyota,Hilux,2015,S2916,,$ 11063,47,
B-0676,Fuel Filter Versa 2019,Champion,fuel_filter,Nissan,Versa,,2996618,,$ 22614,agotado,
SKU-0341,Foco H4 12V 60/55W AKT NKD125 2015 Hengst,,bulb,AKT,NKD125,,B7894,,43979,0,
P00026,Bujia Toyota Yaris 2014 Hengst,Hengst,,Toyota,Yaris,2014,,,7151,29,
SKU-0159,Fram Shock Absorber Chevrolet Sail,Fram,,Chevrolet,Sail,,,,$20.671,,
REF0262,Amortiguador Trasero Yamaha NMAX 2018,Mahle,shock,Yamaha,NMAX,2018,94690-39839,,$ 26874,31,
P00658,Aceite Motor 15W40 Sintetico,Dayco,engine_oil,Nissan,Sentra,,99721-75754,,44220,42,
SKU-0741,Anticongelante 2 Champion,Champion,coolant,Mazda,2,2019,4291838,,22420,19,
A-0462,OEM Lampara H11 Logan 2012,OEM,bulb,Renault,Logan,2012,90798-60419,,35913,44,
M-0616,FILTRO DE ACEITE Toyota Hilux 2016 Monroe,Monroe,oil_filter,,Hilux,,9659910,,163882,39,
SKU-0380,Escobilla 2 2017 SKF,SKF,wiper,,,2017,92195-59028,,COP 241120,39,
P00239,liquido refrigerante,OEM,,,Logan,2014,A5697,,COP 10791,1,
SKU-0729,Mann Amort. 2 2019,Mann,shock,Mazda,2,2019,,,$163.701,few,
SKU-0605,Mann Banda de Distribucion Kia Rio 2015,Mann,,,,,,,$22.686,36,
SKU-0167,Bearing Sentra 2015,,wheel_bearing,,Sentra,2015,6809091,,COP 12263,43,
REF0847,Filtro de Aire Logan 1.6,Wix,,,,,4384706,,$10.242,30,ojo: variante
SKU-0833,Mann Anticongelante,Mann,coolant,Mazda,3,2016,OEM 45251,,$ 34354,44,
SKU-0529,OEM Filttro Aire Hilux 2015,OEM,air_filter,Toyota,,2015,OEM 69203,,$ 9704,11,
SKU-0194,Acumulador Honda CB125 2018,Dayco,,,CB125,,,,238123,few,
SKU-0261,Filtro de Aire Valeo,,air_filter,Chevrolet,Aveo,,6732582,,7039,,
B-0518,NGK Coolant Concentrate,NGK,,Chevrolet,Aveo,,,,20562,28,
B-0777,cabin filter 2 2019 Brembo,Brembo,cabin_filter,Mazda,2,,OEM 86667,,$ 163204,agotado,
P00193,PAST. FRENO Bajaj Boxer 2015,Gates,brake_pad,,,,96275-43284,,$118.364,5,
SKU-0256,Disco de Freno Volkswagen Gol 2014 OEM,OEM,,Volkswagen,Gol,,91490-34093,,$32.019,19,
REF0453,Coolant Concentrate Bosch,Bosch,coolant,Nissan,Versa,2014,,,29667,55,
A-0551,A.Filter Sail 2019 Valeo,Valeo,,Chevrolet,Sail,2019,93034-65312,,85668.00,58,
SKU-0146,Monroe A.Filter Nissan Versa 2016,Monroe,air_filter,Nissan,Versa,2016,7404611,,52846,47,
B-0430,Aceite Motor 5W-30 Sintetico Yaris,Hengst,engine_oil,Toyota,Yaris,2014,,,52567,56,
P00780,Brembo lubricante motor SAE 5W-30,Brembo,engine_oil,Mazda,2,2017,2377829,,7521.00,agotado,posible duplicado
SKU-0223,Coolant Brembo,Brembo,coolant,Toyota,Corolla,,,,$34.532,41,
P00010,Shock Absorber Hyundai Accent 2017 Dayco,Dayco,shock,Hyundai,Accent,2017,91964-60926,,240914.00,12,
SKU-0410,Purflux Lampara H4 Yamaha NMAX 2020,,,Yamaha,NMAX,2020,OEM 55722,,21036,49,
SKU-0586,Filtro de Aire Renault Logan 2014 Wix,Wix,air_filter,Renault,Logan,2014,A7191,,$ 20502,20,
SKU-0315,Brake Disc Nissan Versa 2016,Mahle,,Nissan,Versa,2016,W5292,,164796,38,
M-0685,Brembo Amort.,Brembo,,Toyota,Yaris,2014,OEM 17916,,$7.130,16,
REF0215,Champion FILTRO AIRE Corolla,Champion,air_filter,Toyota,Corolla,2017,6513570,,44163,59,
SKU-0300,Hengst Filtro Ac. Yamaha FZ16 2019,Hengst,oil_filter,Yamaha,FZ16,2019,5797956,,166130,52,
SKU-0156,Brembo filtro de gasolinna Renault Logan 2014,Brembo,fuel_filter,Renault,Logan,,1886818,,$ 240033,13,
P00610,Braake Pad Set Bajaj Pulsar 2020,Sachs,brake_pad,Bajaj,Pulsar,2020,S7781,,$320.374,few,
A-0408,Dayco amort. Suzuki GN125 2012,Dayco,shock,Suzuki,GN125,,,,$29.394,25,
SKU-0067,Cabin Air Filter Hyundai Accent 2014,OEM,cabin_filter,Hyundai,Accent,2014,95824-93567,,7534,1,
C-0210,Coolant,Wix,coolant,Bajaj,Pulsar,2016,1440819,,66968,57,
SKU-0843,Amortiguador Duster Delantero,Denso,,,,,94600-68351,,46009,39,ojo: variante
REF0444,Gates ACEITE MOTOR 10w40,Gates,,Yamaha,NMAX,2020,W3049,,COP 69875,21,
SKU-0326,DOT4,Bosch,,Chevrolet,Aveo,,,,$118.320,55,
SKU-0709,Pastillas de Freno Kia Rio 2013,Denso,brake_pad,Kia,,2013,OEM 46050,,COP 15388,1,
